System call,Windows XP (SP1),Windows XP (SP2),Windows Server 2003 (SP0),Windows Server 2003 (SP2),Windows Server 2003 (R2),Windows Server 2003 (R2 SP2),Windows Vista (SP0),Windows Vista (SP1),Windows Vista (SP2),Windows 7 (SP0),Windows 7 (SP1),Windows 8 (8.0),Windows 8 (8.1),Windows 10 (1507),Windows 10 (1511),Windows 10 (1607),Windows 10 (1703),Windows 10 (1709),Windows 10 (1803),Windows 10 (1809),Windows 10 (1903),Windows 10 (1909),Windows 10 (2004),Windows 10 (20H2),Windows 10 (21H1),Windows 10 (21H2),Windows 10 (22H2),Windows 11 and Server (Server 2022),Windows 11 and Server (11 21H2),Windows 11 and Server (11 22H2),Windows 11 and Server (11 23H2),Windows 11 and Server (Server 23H2),Windows 11 and Server (11 24H2),Windows 11 and Server (Server 2025),Windows 11 and Server (11 25H2)
NtDCompositionSetChannelConnectionId,,,,,,,,,,,,,,,,,,,,0x113f,0x113f,0x113f,0x113f,0x113f,0x113f,0x113f,0x113f,0x113e,0x113b,0x113b,0x113b,0x1138,0x113a,0x113b,0x113a
NtDCompositionSetChildRootVisual,,,,,,,,,,,,,,,,,0x113d,0x113d,0x113f,0x1140,0x1140,0x1140,0x1140,0x1140,0x1140,0x1140,0x1140,0x113f,0x113c,0x113c,0x113c,0x1139,0x113b,0x113c,0x113b
NtDCompositionSetDebugCounter,,,,,,,,,,,,,0x1146,0x114e,0x1150,0x1146,0x113e,0x113e,0x1140,0x1141,0x1141,0x1141,0x1141,0x1141,0x1141,0x1141,0x1141,0x1140,0x113d,0x113d,0x113d,0x113a,0x113c,0x113d,0x113c
NtDCompositionSetMaterialProperty,,,,,,,,,,,,,,,,,,,,0x1142,0x1142,0x1142,0x1142,0x1142,0x1142,0x1142,0x1142,0x1141,0x113e,0x113e,0x113e,,,,
NtDCompositionSetResourceAnimationProperty,,,,,,,,,,,,0x113d,0x1147,0x114f,0x1151,,,,,,,,,,,,,,,,,,,,
NtDCompositionSetResourceBufferProperty,,,,,,,,,,,,0x113e,0x1148,0x1150,0x1152,,,,,,,,,,,,,,,,,,,,
NtDCompositionSetResourceCallbackId,,,,,,,,,,,,,,0x1151,0x1153,,,,,,,,,,,,,,,,,,,,
NtDCompositionSetResourceDeletedNotificationTag,,,,,,,,,,,,0x113f,0x1149,0x1152,0x1154,,,,,,,,,,,,,,,,,,,,
NtDCompositionSetResourceFloatProperty,,,,,,,,,,,,0x1140,0x114a,0x1153,0x1155,,,,,,,,,,,,,,,,,,,,
NtDCompositionSetResourceHandleProperty,,,,,,,,,,,,,0x114b,0x1154,0x1156,,,,,,,,,,,,,,,,,,,,
